Time [s],Channel 2,Channel 3
15.187269417,1,0
15.187269458,1,1
15.187269583,1,0
15.187269750,1,1
15.187269875,1,0
15.187269917,1,1
15.187269958,1,0
15.187270000,1,1
15.187270125,1,0
15.187270292,1,1
15.187270417,1,0
15.187270458,1,1
15.187270500,1,0
15.187270542,1,1
15.187270667,1,0
15.187270833,1,1
15.187270958,1,0
15.187271000,1,1
15.187271042,1,0
15.187271083,1,1
15.187271208,1,0
15.187271375,1,1
15.187271500,1,0
15.187271542,1,1
15.187271583,1,0
15.187271625,1,1
15.187271750,1,0
15.187271917,1,1
15.187272042,1,0
15.187272083,1,1
15.187272125,1,0
15.187272167,1,1
15.187272292,1,0
15.187272458,1,1
15.187272583,1,0
15.187272625,1,1
15.187272667,1,0
15.187272708,1,1
15.187272833,1,0
15.187273000,1,1
15.187273125,1,0
15.187273167,1,1
15.187273208,1,0
15.187273250,1,1
15.187273375,1,0
15.187273542,1,1
15.187273667,1,0
15.187273708,1,1
15.187273750,1,0
15.187273792,1,1
15.187273917,1,0
15.187274083,1,1
15.187274208,1,0
15.187274250,1,1
15.187274292,1,0
15.187274333,1,1
15.187274458,1,0
15.187274625,1,1
15.187274750,1,0
15.187274792,1,1
15.187274833,1,0
15.187274917,1,1
15.187275000,1,0
15.187275167,1,1
15.187275292,1,0
15.187275333,1,1
15.187275375,1,0
15.187275458,1,1
15.187275542,1,0
15.187275708,1,1
15.187275833,1,0
15.187275875,1,1
15.187275917,1,0
15.187276000,1,1
15.187276083,1,0
15.187276250,1,1
15.187276375,1,0
15.187276417,1,1
15.187276458,1,0
15.187276542,1,1
15.187276625,1,0
15.187276792,1,1
15.187276917,1,0
15.187276958,1,1
15.187277000,1,0
15.187277083,1,1
15.187277167,1,0
15.187277333,1,1
15.187277458,1,0
15.187277500,1,1
15.187277542,1,0
15.187277625,1,1
15.187277708,1,0
15.187277875,1,1
15.187278000,1,0
15.187278042,1,1
15.187278083,1,0
15.187278167,1,1
15.187278250,1,0
15.187278417,1,1
15.187278542,1,0
15.187278583,1,1
15.187278625,1,0
15.187278708,1,1
15.187278833,1,0
15.187278958,1,1
15.187279083,1,0
15.187279125,1,1
15.187279167,1,0
15.187279250,1,1
15.187279375,1,0
15.187279500,1,1
15.187279625,1,0
15.187279667,1,1
15.187279708,1,0
15.187279792,1,1
15.187279917,1,0
15.187280042,1,1
15.187280167,1,0
15.187280208,1,1
15.187280250,1,0
15.187280333,1,1
15.187280458,1,0
15.187280583,1,1
15.187280708,1,0
15.187280750,1,1
15.187280792,1,0
15.187280875,1,1
15.187281000,1,0
15.187281042,1,1
15.187281083,1,0
15.187281125,1,1
15.187281250,1,0
15.187281417,1,1
15.187281542,1,0
15.187281583,1,1
15.187281625,1,0
15.187281667,1,1
15.187281792,1,0
15.187281958,1,1
15.187282083,1,0
15.187282125,1,1
15.187282167,1,0
15.187282208,1,1
15.187282333,1,0
15.187282500,1,1
15.187282625,1,0
15.187282667,1,1
15.187282708,1,0
15.187282750,1,1
15.187282875,1,0
15.187283042,1,1
15.187283167,1,0
15.187283208,1,1
15.187283250,1,0
15.187283292,1,1
15.187283417,1,0
15.187283583,1,1
15.187283708,1,0
15.187283750,1,1
15.187283792,1,0
15.187283833,1,1
15.187283958,1,0
15.187284125,1,1
15.187284250,1,0
15.187284292,1,1
15.187284333,1,0
15.187284375,1,1
15.187284500,1,0
15.187284667,1,1
15.187284792,1,0
15.187284833,1,1
15.187284875,1,0
15.187284917,1,1
15.187285042,1,0
15.187285208,1,1
15.187285333,1,0
15.187285375,1,1
15.187285417,1,0
15.187285458,1,1
15.187285583,1,0
15.187285750,1,1
15.187285875,1,0
15.187285917,1,1
15.187285958,1,0
15.187286000,1,1
15.187286125,1,0
15.187286292,1,1
15.187286417,1,0
